"Part";"Value";"Device";"Package";"Description";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"POPULARITY";"SPICEPREFIX";
"D3";"B5817WS-TP";"B5817WS-TP";"SOD2512X115N";"Schottky Diodes & Rectifiers 20V,1A";"Schottky Diodes & Rectifiers 20V,1A";"1.15mm";"Micro Commercial Components (MCC)";"B5817WS-TP";"833-B5817WS-TP";"https://www.mouser.co.uk/ProductDetail/Micro-Commercial-Components-MCC/B5817WS-TP?qs=SdqRYZZ9IxCAZAlW9BKhPg%3D%3D";"";"";
"D4";"B5817WS-TP";"B5817WS-TP";"SOD2512X115N";"Schottky Diodes & Rectifiers 20V,1A";"Schottky Diodes & Rectifiers 20V,1A";"1.15mm";"Micro Commercial Components (MCC)";"B5817WS-TP";"833-B5817WS-TP";"https://www.mouser.co.uk/ProductDetail/Micro-Commercial-Components-MCC/B5817WS-TP?qs=SdqRYZZ9IxCAZAlW9BKhPg%3D%3D";"";"";
"D5";"B5817WS-TP";"B5817WS-TP";"SOD2512X115N";"Schottky Diodes & Rectifiers 20V,1A";"Schottky Diodes & Rectifiers 20V,1A";"1.15mm";"Micro Commercial Components (MCC)";"B5817WS-TP";"833-B5817WS-TP";"https://www.mouser.co.uk/ProductDetail/Micro-Commercial-Components-MCC/B5817WS-TP?qs=SdqRYZZ9IxCAZAlW9BKhPg%3D%3D";"";"";
"D6";"B5817WS-TP";"B5817WS-TP";"SOD2512X115N";"Schottky Diodes & Rectifiers 20V,1A";"Schottky Diodes & Rectifiers 20V,1A";"1.15mm";"Micro Commercial Components (MCC)";"B5817WS-TP";"833-B5817WS-TP";"https://www.mouser.co.uk/ProductDetail/Micro-Commercial-Components-MCC/B5817WS-TP?qs=SdqRYZZ9IxCAZAlW9BKhPg%3D%3D";"";"";
"FB";"B50k";"16MM.1";"16MM_B.MOUNT";"16mm Poteniometers";"";"";"";"";"";"";"";"";
"GND";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";"52";"";
"GND_IN";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";"52";"";
"GND_OUT";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";"52";"";
"IC1";"TL072D";"TL072D";"SO08";"OP AMP";"";"";"";"";"";"";"0";"";
"IC2";"TC1044SEOA";"TC1044SEOA";"SOIC127P600X175-8N";"Microchip TC1044SEOA, Charge Pump Inverting 20mA 45 kHz, -1.5  -12 V 8-Pin, SOIC";"Microchip TC1044SEOA, Charge Pump Inverting 20mA 45 kHz, -1.5  -12 V 8-Pin, SOIC";"1.75mm";"Microchip";"TC1044SEOA";"579-TC1044SEOA";"https://www.mouser.com/Search/Refine.aspx?Keyword=579-TC1044SEOA";"";"";
"IC3";"";"DIP16_SMD.1";"SO16";"Generic 16-pin DIP";"";"";"";"";"";"";"";"";
"IN";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";"52";"";
"LED";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";"52";"";
"MIX";"B100k";"16MM.1";"16MM_B.MOUNT";"16mm Poteniometers";"";"";"";"";"";"";"";"";
"MOD";"B500k";"DUALGANG.2";"16MM_DUALGANG";"Dual-Gan Potentiometers";"";"";"";"";"";"";"";"";
"OUT";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";"52";"";
"OUT1";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";"52";"";
"OUT2";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";"52";"";
"PRE";"";"TRIMMER";"TRIM1";"Trimpots";"";"";"";"";"";"";"";"";
"Q2";"MMBF5457";"MMBF5457";"SOT96P237X111-3N";"ON Semiconductor MMBF5457 N-Channel JFET Transistor, Idss 1  5mA, 3-Pin SOT-23";"ON Semiconductor MMBF5457 N-Channel JFET Transistor, Idss 1  5mA, 3-Pin SOT-23";"1.11mm";"onsemi";"MMBF5457";"512-MMBF5457";"https://www.mouser.co.uk/ProductDetail/ON-Semiconductor-Fairchild/MMBF5457?qs=ljbEvF4DwONFsVNWUpfPPg%3D%3D";"";"";
"R1";"1M";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"85";"R";
"R2";"100k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"85";"R";
"R3";"220k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"85";"R";
"R4";"100k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"85";"R";
"R5";"1M";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"85";"R";
"R6";"4k7";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"85";"R";
"R7";"22k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"85";"R";
"R8";"4k7";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"85";"R";
"R9";"10k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"85";"R";
"R10";"10k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"85";"R";
"R11";"10k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"85";"R";
"R12";"10k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"85";"R";
"R13";"10k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"85";"R";
"R14";"10k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"85";"R";
"R15";"1k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"85";"R";
"R16";"5k6";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"85";"R";
"R17";"2k2";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"85";"R";
"R18";"2k2";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"85";"R";
"R19";"18k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"85";"R";
"R20";"22k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"85";"R";
"R21";"22k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"85";"R";
"R22";"1k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"85";"R";
"R23";"100k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"85";"R";
"R24";"RLED";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"85";"R";
"R25";"10k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"85";"R";
"R26";"10k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"85";"R";
"R27";"10k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"85";"R";
"R28";"15k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"85";"R";
"R29";"4k7";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"85";"R";
"R30";"470k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"85";"R";
"R32";"10k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"85";"R";
"R33";"2M2";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"85";"R";
"R34";"2M2";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"85";"R";
"R35";"15k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"85";"R";
"R36";"120k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"85";"R";
"R37";"1k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"85";"R";
"REG1";"LM78L.";"LM78L.";"TO92";"TO-92 Type, 100mA";"";"";"";"";"";"";"";"";
"SW";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";"52";"";
"SW_1";"";"DPDT.LUGS";"DPDT.LUGS";"DPDT Switches";"";"";"";"";"";"";"";"";
"T1";"MMBT5088LT1G";"MMBT5088LT1G";"SOT95P237X111-3N";"ON Semi MMBT5088LT1G NPN Bipolar Transistor, 50 mA, 30 V, 3-Pin SOT-23";"ON Semi MMBT5088LT1G NPN Bipolar Transistor, 50 mA, 30 V, 3-Pin SOT-23";"1.11mm";"ON Semiconductor";"MMBT5088LT1G";"863-MMBT5088LT1G";"https://www.mouser.co.uk/ProductDetail/onsemi/MMBT5088LT1G?qs=HVbQlW5zcXW4Her9wnPvIg%3D%3D";"";"";
"T2";"MMBT5088LT1G";"MMBT5088LT1G";"SOT95P237X111-3N";"ON Semi MMBT5088LT1G NPN Bipolar Transistor, 50 mA, 30 V, 3-Pin SOT-23";"ON Semi MMBT5088LT1G NPN Bipolar Transistor, 50 mA, 30 V, 3-Pin SOT-23";"1.11mm";"ON Semiconductor";"MMBT5088LT1G";"863-MMBT5088LT1G";"https://www.mouser.co.uk/ProductDetail/onsemi/MMBT5088LT1G?qs=HVbQlW5zcXW4Her9wnPvIg%3D%3D";"";"";
"TIME";"B50k";"16MM.1";"16MM_B.MOUNT";"16mm Poteniometers";"";"";"";"";"";"";"";"";
